# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# SQL constraint on fields:        [method ='TF']
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
#-----------------------------,----------------,-----------------,---------------------,-----,----------,---------,-----------------------,-------------------------------
#$objname                     ,$j2000          ,$field[modulus]  ,$field[distance]     ,modc ,$link[meth,$link[ire,$link[bibref,bibcode]  ,$link[calib,calib_bibcode]     
#                             ,                ,                 ,                     ,     ,od,method],f,iref]  ,                       ,                               
#-----------------------------,----------------,-----------------,---------------------,-----,----------,---------,-----------------------,-------------------------------
NGC7814                       ,J000315.0+160844,31.20 0.45       , 17.378  4.002       ,31.15,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          
NGC7814                       ,J000315.0+160844,31.42 0.54       , 19.231  5.429       ,31.37,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
NGC7814                       ,J000315.0+160844,31.29 0.36       , 18.113  3.266       ,31.31,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  
UGC00017                      ,J000343.3+151306,31.43 0.45       , 19.320  4.449       ,31.38,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          
UGC00017                      ,J000343.3+151306,31.20 0.54       , 17.378  4.906       ,31.15,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
NGC7817                       ,J000358.9+204508,32.31 0.45       , 28.973  6.672       ,32.26,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          
NGC7817                       ,J000358.9+204508,32.36 0.54       , 29.648  8.371       ,32.31,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
NGC7817                       ,J000358.9+204508,32.10 0.38       , 26.303  5.030       ,32.12,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  
NGC7817                       ,J000358.9+204508,32.01 0.40   c   , 25.235  5.104   c   ,32.01,TF        ,    51600,Tully+2008             ,TF:Karachentsev+2002           
ESO293-034                    ,J000619.9-413000,31.60 0.40   c   , 20.893  4.226   c   ,31.60,TF        ,    51600,Tully+2008             ,TF:Karachentsev+2002           
UGC00054                      ,J000653.8+414426,34.32 0.54       , 73.114 20.642       ,34.27,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
ESO349-031                    ,J000813.5-343444,28.06        c   ,  4.100          c   ,28.06,TF        ,    51160,Karachentsev+2004      ,                               
NGC0007                       ,J000820.9-295455,31.40 0.45       , 19.055  4.388       ,31.35,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          
NGC0007                       ,J000820.9-295455,31.38 0.54       , 18.880  5.330       ,31.33,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
NGC0007                       ,J000820.9-295455,31.81 0.40       , 23.014  4.655       ,31.83,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  
NGC0023                       ,J000953.3+255525,33.56 0.45       , 51.523 11.864       ,33.51,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          
NGC0023                       ,J000953.3+255525,33.54 0.54       , 51.051 14.413       ,33.49,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           
