# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
#-----------------------------,----------------,-----------------,---------------------,-----,----------,---------,-----------------------,-------------------------------
#$objname                     ,$j2000          ,$field[modulus]  ,$field[distance]     ,modc ,$link[meth,$link[ire,$link[bibref,bibcode]  ,$link[calib,calib_bibcode]     
#                             ,                ,                 ,                     ,     ,od,method],f,iref]  ,                       ,                               
#-----------------------------,----------------,-----------------,---------------------,-----,----------,---------,-----------------------,-------------------------------
UGC12914                      ,J000138.3+232901,33.57 0.20       , 51.761  4.994       ,33.54,Sosie     ,    51162,Terry+2002             ,Sosie:Terry+2002               
PGC000143                     ,J000158.2-152739,24.88 0.09       ,  0.946  0.040       ,24.88,CMD       ,    51357,Dolphin2000            ,                               
PGC000143                     ,J000158.2-152739,24.84 0.14       ,  0.929  0.062       ,24.84,Cepheids  ,    51351,Valcheva+2007          ,                               
PGC000143                     ,J000158.2-152739,24.92 0.21       ,  0.964  0.098       ,24.92,Cepheids  ,    51332,Sakai+2004             ,                               
PGC000143                     ,J000158.2-152739,24.92 0.07       ,  0.966  0.033       ,24.92,Cepheids  ,    51352,Gieren+2008            ,                               
PGC000143                     ,J000158.2-152739,24.93            ,  0.968              ,24.93,Cepheids  ,    51353,Sandage+1985           ,                               
PGC000143                     ,J000158.2-152739,25.14 0.08       ,  1.069  0.038       ,25.14,Cepheids  ,    51354,Pietrzynski+2007       ,                               
PGC000143                     ,J000158.2-152739,24.99 0.10       ,  0.995  0.047       ,24.99,FGLR      ,    51359,Urbaneja+2008          ,                               
PGC000143                     ,J000158.2-152739,24.95 0.13       ,  0.977  0.060       ,24.95,HB        ,    51358,Rejkuba+2000           ,                               
PGC000143                     ,J000158.2-152739,24.75 0.10       ,  0.891  0.042       ,24.81,TRGB      ,    51355,Minniti+1997           ,TRGB:DaCosta+1990              
PGC000143                     ,J000158.2-152739,25.12 0.17       ,  1.057  0.086       ,25.24,TRGB      ,    51698,Gorski+2011            ,TRGB:Gorski+2011               
PGC000143                     ,J000158.2-152739,25.14 0.15       ,  1.067  0.076       ,25.26,TRGB      ,    51698,Gorski+2011            ,TRGB:Gorski+2011               
PGC000143                     ,J000158.2-152739,24.80 0.05       ,  0.912  0.021       ,24.87,TRGB      ,    51356,Minniti+1996           ,TRGB:I=-4.00                   
PGC000143                     ,J000158.2-152739,24.77 0.09       ,  0.899  0.038       ,24.79,TRGB      ,    51332,Sakai+2004             ,TRGB:Lee+1993                  
PGC000143                     ,J000158.2-152739,24.81            ,  0.916              ,24.83,TRGB      ,    51340,Lee+1993               ,TRGB:Lee+1993                  
PGC000143                     ,J000158.2-152739,24.85 0.08       ,  0.933  0.035       ,24.94,TRGB      ,    51319,McConnachie+2005       ,TRGB:McConnachie+2005          
PGC000143                     ,J000158.2-152739,24.93 0.04       ,  0.968  0.018       ,24.93,TRGB      ,    51342,Rizzi+2007             ,TRGB:Rizzi+2007                
PGC000143                     ,J000158.2-152739,24.96 0.07       ,  0.982  0.032       ,24.96,TRGB      ,    52052,Jacobs,+2009           ,TRGB:Rizzi+2007                
PGC000143                     ,J000158.2-152739,24.96 0.07   p   ,  0.982  0.032   p   ,24.96,TRGB      ,    51764,Jacobs+2009            ,TRGB:Rizzi+2007                
PGC000143                     ,J000158.2-152739,24.89 0.15   c   ,  0.951  0.068   c   ,24.85,Cepheids  ,    51350,Madore+1991            ,Cepheids:Madore+1991           
