,bootmad,bootmother,bootmsig,meas,names
0,14334875.154028624,11.585181475570915,7.415099873784909,5,UGC 12889
1,6989972.600928698,4.263743841466502,3.8528075112428963,3,KUG 2357+228
2,9778287.110573187,7.050289128538754,6.4167320422271406,2,2MFGC 00003
3,9103636.66009599,5.545378774695346,5.648808643493172,3,UGC 12898
4,17030606.153199434,14.133924992957294,7.290709290834857,7,UGC 12897
5,14182684.338046135,10.868194022596452,6.489763498842226,4,UGC 12900
6,14472961.131240118,10.620670497076988,11.420531534017186,2,ESO 349- G 017
7,12720004.106372133,11.344061545564182,5.001816473314753,9,UGC 12901
8,9491057.985878576,7.9110551795881925,4.091963238298899,7,IC 5376
9,9402352.916023884,6.370126270485356,4.041149918639933,4,NGC 7806
10,9376897.071006207,7.049728543890662,4.388261841208838,4,UGC 12913
11,7882649.929730552,5.311598421122996,3.276311762564009,4,UGC 12914
12,15286964.54244423,10.881476336960592,6.258908530930199,4,UGC 12915
13,11086842.21564,6.11032376278697,6.330626850090465,3,ESO 409- G 004
14,10358873.239741547,8.934196439642117,4.51357882599963,7,UGC 12920
15,12138154.927013507,10.125097822057166,5.056080635544494,6,MCG -01-01-024
16,8033224.755466409,5.858444530840178,3.7456478597742646,4,CGCG 408-013
17,15874924.030286342,9.806440574963807,10.048081716058958,3,2MASX J00024069+0846251
18,15606392.076339148,13.580023337134133,7.006770431107192,7,UGC 00003
19,12243594.101550154,8.220642558227953,5.231941073229889,4,NGC 7812
20,14262537.132438347,9.151802609051721,9.188607107912487,3,UGC 00004
21,14258945.192762353,12.542950696901512,5.206411243946294,8,UGC 00005
22,15275853.993414395,10.365980777777844,6.4730124718468245,4,UGC 00006
23,26391458.49935213,19.763163450849746,11.87011642959008,5,IC 5381
24,2493789.2346985643,2.3399401449132444,0.7262849165092741,14,NGC 7814
25,10964975.497805104,7.051821241558182,7.124192168181933,3,UGC 00010
26,12120870.74016992,11.568399241481783,2.9324703683979223,19,UGC 00014
27,2864726.4126285287,2.2915791262472203,1.339780979036734,5,UGC 00017
28,13061075.911857285,8.236795052463599,8.669100331089112,3,AGC 400737
29,28718851.02992642,20.424593308917874,19.755880542992468,2,AGC 101122
30,4196925.721750755,4.015131705887201,0.9825885174972344,22,NGC 7817
31,12251967.490073338,7.637556316933714,8.042676227329872,3,ESO 193- G 013
32,10616809.291309506,6.603106368989392,6.3355423024191175,3,UGC 00023
33,18323600.88272825,12.245779629195273,12.549931267571852,3,2MASX J00041398-5113247
34,8029703.8095072815,4.912363188514312,4.3119586676581285,3,UGC 00024
35,16121935.821139827,9.819089732500627,9.741911171264146,3,ESO 193- G 014
36,4758744.7302510105,4.993963363151943,3.862396447542983,2,NGC 7819
37,8697272.87733145,6.409061577400081,4.050524591120485,4,UGC 00025
38,7246922.48847327,5.62254073181293,3.5615755086520746,4,UGC 00027
39,13757818.57147561,9.952951316938616,9.006147903843948,2,ESO 409- G 012
40,6639175.64367779,4.5320362353063866,2.8094610554667976,4,IC 1528
41,11970744.845676536,7.042048418692932,6.156421580501009,3,NGC 7824
42,11243095.948442305,9.526802400878742,4.821757784804629,7,UGC 00036
43,11790992.986878812,9.129677998346896,5.791399129943397,5,NGC 7821
44,29960740.63323897,23.824306225302525,23.104087485566684,3,ESO 193- G 019
45,11876618.692810794,6.489385667663858,6.6613374792047235,3,ESO 193- G 018
46,21096053.037799694,23.91377182156004,14.48817912636516,2,UGC 00039
47,13813613.40099252,12.750226309960842,5.160272742294612,11,UGC 00040
48,10521549.860566102,8.978377037004902,4.6607042929731834,7,UGC 00041
49,3609677.943559745,2.5616509374728698,1.5231951227307925,4,ESO 293-IG 034
50,19590987.939940494,12.70657620726323,12.841174232818028,3,2MASX J00062236-5010027
51,12092391.796015702,6.708372967854665,6.669178318985826,3,NGC 7828
52,12225679.63180054,10.045352624346476,5.1154685658722086,6,UGC 00050
53,14463389.996020416,11.851509442380376,6.824679020957443,4,UGC 00051
54,7892645.52883292,4.777716246846217,4.862395482386477,3,CGCG 408-033
55,11497243.166461745,7.1650786702874,7.141944218971793,3,UGC 00053
56,12991523.826006308,8.484175629490725,8.737431383803846,3,ESO 193- G 026
57,10873166.712906547,7.869518134983858,7.1817783070677805,2,UGC 00054
58,8002783.992682874,4.83239976173845,4.761527393310296,3,KUG 0004+134
59,9925355.66559093,9.046129106427973,3.1739333186224794,11,NGC 0001
60,13197261.239435636,12.293119119465636,4.309043916010176,12,NGC 0002
61,8924025.901652468,8.136026880996145,3.0478266652136843,11,NGC 7831
62,14602465.145448033,13.487508909227946,4.8509465736697175,10,NGC 7836
63,13989657.07016822,9.42578971740772,6.072263976183286,4,UGC 00066
64,14938060.306517892,12.764339900694427,5.796638069067403,6,UGC 00068
65,6889873.600310404,5.732237623270058,2.7949297828682798,6,UGC 00069
66,9775612.72869604,7.368090904647135,4.837870680732727,5,ESO 111- G 014
67,2896223.6864290144,2.71014902978788,0.9485105268167552,13,NGC 0007
68,9152342.040041843,7.587554407248646,3.903443470736884,6,FGC 0008
69,14904756.45406115,13.800782775673186,4.2777146338476495,13,NGC 0010
70,11668928.512360714,7.098209612821747,7.356819383051263,3,ESO 193- G 030
71,8489717.693101361,6.424322427882067,4.145742324235272,5,NGC 0011
72,2457527.5589323933,3.551416732133239,1.2165666186045276,2,NGC 0014
73,7757104.386042055,7.117246917114612,2.7665344295323435,11,NGC 0013
74,8643949.32536326,5.251033448119756,5.230164660589174,3,UGC 00076
75,5412025.470406387,3.118042302081108,3.008752830340535,3,NGC 0009
76,19819310.010704704,13.935642229318836,8.244874327555069,4,NGC 0015
77,13216452.986124413,12.078071978983454,4.038941387016748,12,ESO 349- G 033
78,4710877.366020601,3.5276678592878614,3.1261707884458474,2,NGC 0016
79,7969052.160336185,4.841852133937541,4.919651973595183,3,UGC 00079
80,13092878.155167667,10.061487367410496,8.893401871685837,2,IC 1531
81,15885004.336430667,13.927383521591263,7.1632030115996645,7,NGC 0022
82,6295856.7030191375,5.689525192035352,2.103749959504557,9,IC 1532
83,10534786.93865808,10.116665220049214,2.9372603847184027,17,NGC 0023
84,1411813.2660126584,1.375690818447383,0.293419613630787,28,NGC 0024
85,2764346.8869373463,2.081439504948245,1.9116450651255648,2,UGC 00092
86,15443677.225432418,10.810356844127607,6.540258754372778,4,UGC 00091
87,12996836.2966393,8.400180018437222,8.916739897942907,3,AGC 101063
88,11853223.884505766,11.13615225887835,3.608261674952789,13,ESO 241- G 021
89,9787927.50019656,9.061511001503613,3.3909236781741123,11,NGC 0026
90,17290723.246058226,15.058900606908145,7.43261541099189,7,UGC 00095
91,12209932.899002828,11.304012474380665,3.917645613597821,13,NGC 0027
92,17818780.65362665,9.942609313861848,9.908138306011177,3,2MASX J00103444+0611590
93,8595180.101234704,7.891262934968772,3.0196693026040866,11,NGC 0019
94,9810396.954873748,9.10913564477208,3.1369210019787133,13,NGC 0021
95,18576441.78655663,12.651160420821025,7.254776556149973,4,UGC 00101
96,15795690.651897915,10.790482646514,6.72523781279509,4,UGC 00102
97,12805668.089469984,10.842329567570697,5.435500858295328,7,ESO 349- G 038
98,11453892.635017944,8.011693174340241,8.344257273426786,3,UGC 00105
99,9456670.897491187,8.349273536120405,3.6584966616631496,8,NGC 0036
100,3983012.0258939546,3.4049097872334606,1.7042835136805805,7,ESO 293- G 045
101,13814024.465589466,8.442545605831134,8.83839908171402,3,KUG 0008+275
102,14844877.81037768,10.027472259410247,6.349506028488142,4,UGC 00107
103,17792933.941504195,14.987121251367553,7.778560937667228,6,UGC 00108
104,5712625.879559725,4.080047260919353,2.611760504761091,4,UGC 00110
105,8137184.189911511,6.653093817859857,3.42020639106592,6,UGC 00111
106,40018759.560691744,29.894251751362766,14.487222128698413,4,KUG 0009+276A
107,10830880.7376837,5.913171472323239,5.844965040423067,3,CGCG 499-075
108,15491244.538895242,13.727296960604727,5.186124345457362,10,UGC 00113
109,11121891.062186465,8.98259189931497,5.5674197790960465,5,NGC 0041
110,13653125.938541615,10.395496312340963,5.9783799118887675,4,MCG -01-01-052
111,17304985.85291727,15.677914569343915,6.823888134021107,9,CGCG 499-081
112,8940452.947223812,4.930555735223688,4.972723987399142,3,UGC 00127
113,3028130.3198362663,2.205172693294817,2.022950609405189,2,UGC 00132
114,1872000.1311382442,1.7893257888385463,0.5096731249824129,14,NGC 0045
115,6773310.768912338,6.063693217254647,5.2805554563888695,2,UGC 00135
116,8471388.242292259,7.466736448343765,2.514202564534996,12,UGC 00139
117,12336568.939897098,10.783142944553264,4.243714943615427,8,NGC 0052
118,501656.3499369612,0.488087158486193,0.22306858007969996,5,NGC 0055
119,11176739.616195556,8.839295239129706,7.991640638717938,2,NGC 0057
120,7432610.611000583,6.519767796031682,2.8632450857598903,8,UGC 00148
121,7435721.172536276,4.249032796193518,4.266160085073207,3,UGC 00149
122,19565622.89299384,13.683805751807213,14.277512329795409,3,2MASX J00160121+1601331
123,7727342.121737454,6.630994137846187,3.3997808844926096,7,UGC 00152
124,7698375.9223003825,6.796366618040973,2.923781446593641,8,UGC 00155
