,names,meas,bootmad,bootmsig,bootmother
0,UGC 12889,5,14.2903189919205,7.343927035593951,11.952926042555324
1,KUG 2357+228,3,7.117288657467034,3.940534960224277,4.285461064605605
2,2MFGC 00003,2,9.80154316413989,6.1728760278407755,7.006029700661916
3,UGC 12898,3,9.124246436756552,5.9043847432811525,5.59259407968834
4,UGC 12897,7,17.277864467130467,7.394035137798764,14.555607151482954
5,UGC 12900,4,14.301617896963425,6.92701213078437,10.83578853668708
6,ESO 349- G 017,2,13.753234490701482,9.881444607641836,9.916309030354684
7,UGC 12901,9,12.711686628848039,4.912251501736867,11.550631870001347
8,IC 5376,7,9.770802531660944,3.949551381016791,8.109748144137315
9,NGC 7806,4,9.2286010394703,4.13564145303678,6.62872470302592
10,UGC 12913,4,9.415163826388918,4.323497440491148,6.761037523925781
11,UGC 12914,4,7.811624081394657,2.9457134709066906,5.229486270969343
12,UGC 12915,4,15.373297056153692,6.380078484870907,10.86158343019847
13,ESO 409- G 004,3,11.121377018147543,6.245897557853139,6.121603611048647
14,UGC 12920,7,10.246208492666304,4.751811783713901,8.644998246211365
15,MCG -01-01-024,6,12.048687105548128,4.805451237153673,10.093038285235993
16,CGCG 408-013,4,8.221710962262243,3.7281271389024364,5.918232594784636
17,2MASX J00024069+0846251,3,15.721247220686212,10.026512792741675,9.350893105278836
18,UGC 00003,7,15.286519389968753,7.074910120801596,13.221278486572608
19,NGC 7812,4,12.300331706939332,5.522150276563123,8.683622846673373
20,UGC 00004,3,14.0541879767908,9.537873847337863,10.064641649751618
21,UGC 00005,8,13.806961461706065,5.368506109433463,12.12749875317879
22,UGC 00006,4,15.166271831710405,6.572331266312534,10.520532915889405
23,IC 5381,5,26.330762627702804,11.606787531680382,19.361202250387638
24,NGC 7814,14,2.4844217262375716,0.7184962252598355,2.3444400874953115
25,UGC 00010,3,10.89806467213259,6.997582073589501,7.284270879328065
26,UGC 00014,19,12.181257247683055,3.010921675940983,11.527262728109047
27,UGC 00017,5,2.868255108531095,1.2935845401102015,2.2899268305549456
28,AGC 400737,3,13.11377224654197,7.873630593006756,7.861145234349646
29,AGC 101122,2,27.372867865007564,19.135169229053215,18.97433490361944
30,NGC 7817,22,4.257725051169472,1.005419212434134,4.09286644665604
