Gname,zz,zz_d,dis,dis_d,dist_std,vel_h,vel_avg,vel_std,h0,delta_h0,sigma_h0,theta,phi
UGC12914,0.01458,2.70E-05,50.8,11.02,12.1345,4370.97,4023.13,201.319,79.196,9.32767,19.328,2.23365,1.89201
2dFGRSS839Z607,0.060998,0.000213,277.2,50.29,57.4237,18286.7,18092,906.851,65.267,-4.60081,13.911,2.72058,5.56975
UGC00139,0.013219,1.30E-05,55.34,9.56,11.0462,3962.96,3608.92,180.488,65.214,-4.65419,13.419,2.65573,1.79511
MCG+01-02-004,0.025197,3.00E-05,116,1.41,11.6854,7553.87,7200.17,360.121,62.071,-7.79733,6.981,2.53692,1.92635
NGC0105,0.017646,8.70E-05,65.99,9.82,11.8313,5290.14,4939.28,248.337,74.849,4.98108,13.937,2.43442,1.97383
NGC0252,0.016471,4.30E-05,77.12,9.58,12.2984,4937.88,4618.89,231.304,59.892,-9.97554,10.011,2.18589,2.12941
UGC00607,0.039137,0.000143,186.64,27.44,33.1858,11733,11402.1,571.714,61.091,-8.77647,11.286,2.44493,2.19407
UGC00646,0.017742,3.00E-05,68.2,8.26,10.7117,5318.92,5019.45,251.133,73.599,3.73116,12.132,2.10427,2.197
NGC0382,0.017442,6.70E-05,68.03,16.02,17.4046,5228.98,4932.46,247.439,72.504,2.63633,18.903,2.10045,2.21369
MCG-01-04-008,0.019163,2.00E-05,86.45,16.61,18.7251,5744.92,5431.31,271.632,62.826,-7.04171,13.966,2.76104,2.37469
NGC0452,0.016551,1.70E-05,63.55,4.61,7.851,4961.86,4668.29,233.470,73.459,3.59069,9.791,2.12122,2.25441
ESO352-G057,0.018983,0.00015,86.58,11.14,14.1089,5690.96,5459.42,276.650,63.056,-6.81139,10.761,2.97315,4.57056
NGC0494,0.018219,3.30E-05,65.19,6.59,9.2696,5461.92,5177.92,259.085,79.428,9.56027,11.973,2.08106,2.27731
NGC0495,0.013723,3.30E-05,70.16,10.37,12.5204,4114.05,3830.74,191.793,54.600,-15.2677,10.120,2.07591,2.27652
MCG-01-04-039,0.047733,0.000107,174.33,9.81,20.0036,14310,14006.7,701.070,80.346,10.4782,10.058,2.72503,2.51406
NGC0523,0.015871,1.30E-05,63.29,8.6,10.6778,4758.01,4477.75,223.921,70.750,0.881911,12.450,2.06509,2.28479
NGC0536,0.017309,1.70E-05,59.57,10.85,12.3777,5189.11,4911.21,245.613,82.444,12.5765,17.620,2.05284,2.28689
IC0126,0.019667,0.00015,77.92,9.77,12.4967,5896.02,5594.05,283.294,71.792,1.92446,12.074,2.67433,2.52418
UGC01087,0.01496,3.00E-06,64.25,8.95,11.0174,4484.9,4180.9,209.047,65.072,-4.79541,11.623,2.39932,2.39721
[MH93]014355.4-562057,0.088,0.002,391.85,68.14,78.6036,26381.7,26258.3,1443.340,67.011,-2.8568,13.938,2.60805,5.02679
NGC0673,0.017285,1.70E-05,65.62,7.93,10.2929,5181.91,4892.81,244.694,74.563,4.69502,12.276,2.42524,2.52125
NGC0708,0.016195,5.30E-05,63,5.94,8.65873,4855.14,4601.36,230.616,73.037,3.16966,10.685,2.0087,2.38358
NGC0748,0.017732,1.70E-05,69.16,4.98,8.52241,5315.92,5042.69,252.186,72.913,3.04559,9.697,2.66255,2.7948
ESO297-G036,0.037062,3.30E-05,128,5.66,13.9956,11110.9,10921.4,546.157,85.323,15.4553,10.259,2.8326,4.45164
IC1783,0.011174,3.30E-05,46.94,7.53,8.87325,3349.88,3154.03,158.011,67.193,-2.67502,13.140,2.8282,4.12882
ESO053-G002,0.026685,3.30E-05,85.48,17.81,19.7551,7999.96,7957.87,398.016,93.096,23.2285,22.013,2.35127,5.12575
IC1788,0.011746,2.60E-05,52.33,8.25,9.76969,3521.36,3325.71,166.468,63.553,-6.31512,12.284,2.81282,4.02206
ESO545-G018,0.033233,3.30E-05,118.15,26.19,28.7317,9963,9748.36,487.518,82.508,12.6406,20.484,2.7338,3.45425
NGC0935,0.013816,1.70E-05,49.06,5.84,7.62722,4141.93,3899.36,195.035,79.482,9.61375,12.981,2.22922,2.65534
UGC01993,0.026745,3.70E-05,115.57,11.91,16.5956,8017.95,7806.01,390.458,67.544,-2.32423,10.271,1.91122,2.50027
NGC0976,0.014327,1.70E-05,51.06,5.93,7.82535,4295.13,4060.22,203.075,79.519,9.65075,12.819,2.19683,2.66756
NGC1024,0.011778,2.00E-05,45.3,1.41,4.74437,3530.96,3298.75,165.046,72.820,2.95227,8.452,2.33703,2.8112
IC1844,0.022719,6.70E-05,96.98,15.36,18.1654,6810.98,6589.46,330.085,67.947,-1.92118,13.174,2.42566,2.96114
ESO300-G009,0.02,0.002,85.53,10.35,13.4267,5995.85,5875.41,667.685,68.694,-1.17359,13.313,2.61169,4.28824
FCCB0602,0.064051,0.00015,307.7,32.48,44.7408,19202,19102.5,956.183,62.082,-7.78622,9.547,2.53671,4.18931
ESO031-G015,0.027512,3.30E-05,96.58,9.94,13.8593,8247.89,8247.23,412.480,85.393,15.5249,12.977,2.25065,5.05503
[M92n]033422.3-183104,0.079,0.002,315.12,31.75,44.7333,23683.6,23556.5,1321.650,74.754,4.88619,11.411,2.46255,3.64481
FCCB1147,0.039034,9.30E-05,158.38,31.5,35.2575,11702.1,11602.8,580.808,73.259,3.39132,16.716,2.51073,4.06039
ESO031-G018,0.027783,3.30E-05,102.24,16.18,19.1396,8329.13,8327.56,416.496,81.451,11.5833,15.783,2.26015,5.024
ESO156-G008,0.058701,0.000334,259.2,36.97,45.1512,17598.1,17551.7,883.277,67.715,-2.15301,12.278,2.42477,4.62594
NGC1521,0.014153,4.00E-05,55.64,9.75,11.2259,4242.96,4164.82,208.586,74.853,4.98529,15.561,2.35506,3.77537
