Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
52,NGC5044                       ,NGC 5044                      ,311.234,46.1,G     ,2782,0.00928,0.000077,Tully-Fisher                            ,32.71,0.24,32.37,33.09,35,3.94,29.7,41.6,10,5,52,
233,NGC3818                       ,NGC 3818                      ,273.594,52.713,G     ,1701,0.005674,0.000025,Tully-Fisher                            ,32.69,0.37,32,33.32,35.02,5.82,25.1,46.1,12,5,233,
161,NGC3078                       ,NGC 3078                      ,261.781,21.802,G     ,2580,0.008606,0.000067,Tully-Fisher                            ,32.71,0.21,32.26,32.96,35.04,3.22,28.3,39.1,10,5,161,
209,NGC7192                       ,NGC 7192                      ,326.517,-44.537,G     ,2978,0.009934,0.000043,Tully-Fisher                            ,32.71,0.33,32.1,33.07,35.08,5.02,26.3,41,10,5,209,
57,NGC1199                       ,NGC 1199                      ,199.178,-57.265,G     ,2570,0.008573,0.000017,Tully-Fisher                            ,32.69,0.42,32.19,33.69,35.09,7.73,27.4,54.6,10,6,57,
185,NGC6943                       ,NGC 6943                      ,325.955,-35.297,G     ,3114,0.010387,0.000013,Tully-Fisher                            ,32.71,0.23,32.29,33.03,35.09,3.63,28.7,40.4,12,10,185,
102,UGC09391                      ,UGC 09391                     ,101.18,53.214,G     ,1914,0.006384,0.000013,Tully-Fisher                            ,32.72,0.29,32.1,33.19,35.12,4.54,26.1,42.9,10,5,102,
11,NGC4680                       ,NGC 4680                      ,301.162,51.219,G     ,2492,0.008312,0.00003,Tully-Fisher                            ,32.7,0.5,31.43,33.1,35.29,6.9,19.3,41.7,13,2,11,
103,NGC5687                       ,NGC 5687                      ,95.388,56.768,G     ,2143,0.007148,0.000017,Tully-Fisher                            ,32.71,0.41,32.23,33.23,35.3,6.81,27.9,44.4,4,5,103,
8,NGC4645                       ,NGC 4645                      ,301.478,21.101,G     ,2630,0.008773,0.000011,Tully-Fisher                            ,32.72,0.34,32.35,33.33,35.33,5.63,29.5,46.4,10,7,8,
198,UGC11818                      ,UGC 11818                     ,109.998,14.404,G     ,2402,0.008012,0.000013,Tully-Fisher                            ,32.71,0.48,31.86,32.99,35.54,6.75,23.6,39.7,5,4,198,
136,NGC2695                       ,NGC 2695                      ,231.03,25.47,G     ,1833,0.006114,0.000017,Tully-Fisher                            ,32.75,0.23,32.55,33.15,35.72,3.86,32.3,42.6,9,5,136,
190,NGC7029                       ,NGC 7029                      ,349.596,-42.804,G     ,2839,0.00947,0.000033,Tully-Fisher                            ,32.76,0.24,32.42,33.25,35.89,4.02,30.5,44.7,10,6,190,
156,NGC2986                       ,NGC 2986                      ,255.04,23.723,G     ,2302,0.007679,0.000014,Tully-Fisher                            ,32.77,0.23,32.38,33.08,35.93,3.76,29.7,41.3,10,5,156,
246,NGC4233                       ,NGC 4233                      ,278.724,68.868,G     ,2306,0.007692,0.000017,Tully-Fisher                            ,32.77,0.17,32.59,33,35.98,2.89,33,39.9,5,9,246,
140,NGC2706                       ,NGC 2706                      ,230.814,26.109,G     ,1631,0.00544,0.000017,Tully-Fisher                            ,32.74,0.5,32.37,33.61,36.06,9.42,29.8,52.7,5,4,140,
158,NGC3038                       ,NGC 3038                      ,264.589,16.389,G     ,2788,0.0093,0.000013,Tully-Fisher                            ,32.77,0.27,32.44,33.25,36.12,4.48,30.8,44.8,12,9,158,
184,NGC6923                       ,NGC 6923                      ,12.464,-33.87,G     ,2826,0.009427,0.00001,Tully-Fisher                            ,32.79,0.12,32.62,33.01,36.19,2.07,33.4,40.1,10,8,184,
130,NGC5967                       ,NGC 5967                      ,313.299,-16.495,G     ,2885,0.009623,0.000019,Tully-Fisher                            ,32.78,0.23,32.46,33.22,36.23,3.89,31,44,13,9,130,
205,NGC7168                       ,NGC 7168                      ,343.32,-49.948,G     ,2760,0.009206,0.00007,Tully-Fisher                            ,32.8,0.11,32.7,32.94,36.28,1.91,34.7,38.7,5,6,205,
257,NGC4373                       ,NGC 4373                      ,297.484,22.835,G     ,3396,0.011328,0.00006,Tully-Fisher                            ,32.75,0.5,31.77,33.29,36.32,7.89,22.6,45.5,11,9,257,
204,NGC7173                       ,NGC 7173                      ,14.957,-53.077,G     ,2497,0.008329,0.00004,Tully-Fisher                            ,32.79,0.31,32.48,33.48,36.43,5.53,31.3,49.6,12,12,204,
163,NGC3089                       ,NGC 3089                      ,262.982,20.912,G     ,2708,0.009033,0.000033,Tully-Fisher                            ,32.8,0.21,32.38,33.17,36.51,3.46,29.9,43.1,11,6,163,
207,NGC3347A                      ,NGC 3347A                     ,275.431,19.364,G     ,2775,0.009256,0.000033,Tully-Fisher                            ,32.8,0.21,32.51,33.25,36.51,3.77,31.8,44.8,13,7,207,
106,UGC03691                      ,UGC 03691                     ,201.126,10.456,G     ,2203,0.007348,0.000017,Tully-Fisher                            ,32.78,0.4,32.13,33.42,36.55,6.81,26.7,48.3,11,7,106,
34,ESO323-G034                   ,ESO 323- G 034                ,303.336,21.667,G     ,4335,0.01446,0.000011,SBF                                     ,32.82,0.15,32.69,33.13,36.76,2.69,34.5,42.3,7,5,34,
20,VV730                         ,VV 730                        ,136.528,-54.233,GPair ,2700,0.009006,0.000007,SNIa                                    ,32.78,0.65,31.86,33.34,36.84,10.01,23.6,46.1,5,2,20,
36,NGC4767                       ,NGC 4767                      ,303.443,23.155,G     ,2995,0.00999,0.000019,Tully-Fisher                            ,32.81,0.35,32.35,33.4,36.86,6.25,29.4,48,10,6,36,
218,NGC3557                       ,NGC 3557                      ,281.578,21.089,G     ,3088,0.0103,0.00006,Tully-Fisher                            ,32.8,0.45,32.09,33.3,37,7.32,26.2,45.7,8,8,218,
244,NGC4193                       ,NGC 4193                      ,268.909,73.513,G     ,2480,0.008272,0.000017,Tully-Fisher                            ,32.83,0.3,32.39,33.54,37.09,5.3,30,51,14,15,244,
3,NGC4603                       ,NGC 4603                      ,300.793,21.852,G     ,2592,0.008647,0.00002,Tully-Fisher                            ,32.8,0.44,32.28,33.7,37.13,8.25,28.6,55,22,9,3,
120,2MASXJ07412825-3006436        ,2MASX J07412825-3006436       ,245.137,-3.556,G     ,2108,0.007032,0.000033,Tully-Fisher                            ,32.82,0.4,32.19,33.1,37.14,6.39,27.4,41.7,5,0,120,
30,NGC0661                       ,NGC 0661                      ,136.71,-32.749,G     ,3815,0.012725,0.000017,Tully-Fisher                            ,32.78,0.64,32,33.61,37.3,11.12,25.1,52.6,8,8,30,
32,NGC4729                       ,NGC 4729                      ,302.999,21.739,G     ,3344,0.011154,0.000008,Tully-Fisher                            ,32.85,0.28,32.39,33.27,37.36,4.68,30.1,45,8,6,32,
224,NGC7537                       ,NGC 7537                      ,82.761,-50.661,G     ,2674,0.00892,0.000013,Tully-Fisher                            ,32.85,0.26,32.39,33.35,37.37,4.5,30.1,46.7,15,15,224,
143,NGC2778                       ,NGC 2778                      ,189.104,43.02,G     ,2049,0.006835,0.000014,Tully-Fisher                            ,32.82,0.61,31.8,33.44,37.75,9.6,22.9,48.7,6,7,143,
50,NGC5018                       ,NGC 5018                      ,309.898,43.061,G     ,2816,0.009393,0.000003,Tully-Fisher                            ,32.87,0.34,32.08,33.4,37.77,5.59,25.8,47.9,16,5,50,
53,NGC1134                       ,NGC 1134                      ,163.291,-40.089,G     ,3640,0.012142,0.000003,Tully-Fisher                            ,32.88,0.28,32.67,33.33,37.88,5.14,34.2,46.3,5,5,53,
119,NGC5833                       ,NGC 5833                      ,312.942,-12.778,G     ,3034,0.010121,0.000017,Tully-Fisher                            ,32.88,0.25,32.61,33.35,37.88,4.38,33.3,46.7,12,9,119,
18,NGC4696                       ,NGC 4696                      ,302.403,21.558,G     ,2958,0.009867,0.00005,Tully-Fisher                            ,32.88,0.31,32.19,33.42,38.04,5.35,27.4,48.2,14,14,18,
181,NGC6902                       ,NGC 6902                      ,356.868,-34.683,G     ,2796,0.009326,0.000013,Tully-Fisher                            ,32.9,0.27,32.41,33.34,38.19,4.73,30.3,46.6,8,9,181,
162,NGC3087                       ,NGC 3087                      ,266.889,16.324,G     ,2672,0.008913,0.00007,Tully-Fisher                            ,32.91,0.19,32.71,33.21,38.28,3.37,34.9,43.9,10,6,162,
248,NGC4260                       ,NGC 4260                      ,281.563,67.63,G     ,1958,0.006531,0.000033,Tully-Fisher                            ,32.89,0.32,32.43,33.42,38.32,5.86,30.7,48.4,6,10,248,
165,IC2537                        ,IC 2537                       ,263.226,22.099,G     ,2795,0.009322,0.000021,Tully-Fisher                            ,32.92,0.12,32.76,33.09,38.41,2.18,35.7,41.5,8,7,165,
85,NGC1924                       ,NGC 1924                      ,208.065,-20.955,G     ,2558,0.008533,0.00015,Tully-Fisher                            ,32.91,0.31,32.5,33.37,38.46,5.65,31.6,47.1,7,6,85,
16,NGC0470                       ,NGC 0470                      ,136.629,-58.707,G     ,2374,0.007919,0.00001,Tully-Fisher                            ,32.91,0.31,32.42,33.52,38.59,5.7,30.5,50.6,10,12,16,
