Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Mfilt,mag,mag_d,dis,dis_d,var1,var2,var3
52,NGC5044                       ,NGC 5044                      ,311.234,46.1,G     ,2782,0.00928,0.000077,11.83,32.71,0.24,35,3.94,2,5,52
162,NGC3818                       ,NGC 3818                      ,273.594,52.713,G     ,1701,0.005674,0.000025,12.74,32.69,0.37,35.02,5.82,4,5,162
13,NGC3078                       ,NGC 3078                      ,261.781,21.802,G     ,2580,0.008606,0.000067,12.14,32.71,0.21,35.04,3.22,4,5,13
309,NGC7192                       ,NGC 7192                      ,326.517,-44.537,G     ,2978,0.009934,0.000043,12.19,32.71,0.33,35.08,5.02,3,5,309
125,NGC1199                       ,NGC 1199                      ,199.178,-57.265,G     ,2570,0.008573,0.000017,12.37,32.69,0.42,35.09,7.73,2,6,125
276,NGC6943                       ,NGC 6943                      ,325.955,-35.297,G     ,3114,0.010387,0.000013,12.05,32.71,0.23,35.09,3.63,3,10,276
165,DDO193                        ,UGC 09391                     ,101.18,53.214,G     ,1914,0.006384,0.000013, 14.6B,32.72,0.29,35.12,4.54,4,5,165
377,NGC4680                       ,NGC 4680                      ,301.162,51.219,G     ,2492,0.008312,0.00003,13.23,32.7,0.5,35.29,6.9,2,2,377
166,NGC5687                       ,NGC 5687                      ,95.388,56.768,G     ,2143,0.007148,0.000017, 12.8g,32.71,0.41,35.3,6.81,5,5,166
370,NGC4645                       ,NGC 4645                      ,301.478,21.101,G     ,2630,0.008773,0.000011,12.88,32.72,0.34,35.33,5.63,1,7,370
294,UGC11818                      ,UGC 11818                     ,109.998,14.404,G     ,2402,0.008012,0.000013,15,32.71,0.48,35.54,6.75,3,4,294
357,NGC2695                       ,NGC 2695                      ,231.03,25.47,G     ,1833,0.006114,0.000017,12.83,32.75,0.23,35.72,3.86,2,5,357
286,NGC7029                       ,NGC 7029                      ,349.596,-42.804,G     ,2839,0.00947,0.000033,12.35,32.76,0.24,35.89,4.02,4,6,286
395,NGC2986                       ,NGC 2986                      ,255.04,23.723,G     ,2302,0.007679,0.000014,11.72,32.77,0.23,35.93,3.76,3,5,395
225,NGC4233                       ,NGC 4233                      ,278.724,68.868,G     ,2306,0.007692,0.000017, 12.8g,32.77,0.17,35.98,2.89,6,9,225
361,NGC2706                       ,NGC 2706                      ,230.814,26.109,G     ,1631,0.00544,0.000017,13.8,32.74,0.5,36.06,9.42,5,4,361
2,NGC3038                       ,NGC 3038                      ,264.589,16.389,G     ,2788,0.0093,0.000013,12.42,32.77,0.27,36.12,4.48,3,9,2
273,NGC6923                       ,NGC 6923                      ,12.464,-33.87,G     ,2826,0.009427,0.00001,12.68,32.79,0.12,36.19,2.07,5,8,273
199,NGC5967                       ,NGC 5967                      ,313.299,-16.495,G     ,2885,0.009623,0.000019, 12.6b,32.78,0.23,36.23,3.89,4,9,199
302,NGC7168                       ,NGC 7168                      ,343.32,-49.948,G     ,2760,0.009206,0.00007,12.86,32.8,0.11,36.28,1.91,3,6,302
261,NGC4373                       ,NGC 4373                      ,297.484,22.835,G     ,3396,0.011328,0.00006,11.9,32.75,0.5,36.32,7.89,2,9,261
301,NGC7173                       ,NGC 7173                      ,14.957,-53.077,G     ,2497,0.008329,0.00004,13.08,32.79,0.31,36.43,5.53,7,12,301
15,NGC3089                       ,NGC 3089                      ,262.982,20.912,G     ,2708,0.009033,0.000033,13.21,32.8,0.21,36.51,3.46,3,6,15
94,NGC3347A                      ,NGC 3347A                     ,275.431,19.364,G     ,2775,0.009256,0.000033,13.45,32.8,0.21,36.51,3.77,4,7,94
299,UGC03691                      ,UGC 03691                     ,201.126,10.456,G     ,2203,0.007348,0.000017,12.6,32.78,0.4,36.55,6.81,4,7,299
11,ESO323-G034                   ,ESO 323- G 034                ,303.336,21.667,G     ,4335,0.01446,0.000011,13.01,32.82,0.15,36.76,2.69,2,5,11
44,MCG+01-04-044                 ,VV 730                        ,136.528,-54.233,GPair ,2700,0.009006,0.000007,      ,32.78,0.65,36.84,10.01,2,2,44
13,NGC4767                       ,NGC 4767                      ,303.443,23.155,G     ,2995,0.00999,0.000019,12.51,32.81,0.35,36.86,6.25,1,6,13
125,NGC3557                       ,NGC 3557                      ,281.578,21.089,G     ,3088,0.0103,0.00006,11.41,32.8,0.45,37,7.32,5,8,125
215,NGC4193                       ,NGC 4193                      ,268.909,73.513,G     ,2480,0.008272,0.000017, 13.1g,32.83,0.3,37.09,5.3,7,15,215
351,NGC4603                       ,NGC 4603                      ,300.793,21.852,G     ,2592,0.008647,0.00002,12.29,32.8,0.44,37.13,8.25,4,9,351
325,ZOAG245.14-3.56               ,2MASX J07412825-3006436       ,245.137,-3.556,G     ,2108,0.007032,0.000033,16.1,32.82,0.4,37.14,6.39,2,0,325
65,NGC0661                       ,NGC 0661                      ,136.71,-32.749,G     ,3815,0.012725,0.000017,13.18,32.78,0.64,37.3,11.12,4,8,65
6,NGC4729                       ,NGC 4729                      ,302.999,21.739,G     ,3344,0.011154,0.000008,13.42,32.85,0.28,37.36,4.68,2,6,6
337,NGC7537                       ,NGC 7537                      ,82.761,-50.661,G     ,2674,0.00892,0.000013, 12.6B,32.85,0.26,37.37,4.5,5,15,337
369,NGC2778                       ,NGC 2778                      ,189.104,43.02,G     ,2049,0.006835,0.000014,13.35,32.82,0.61,37.75,9.6,5,7,369
46,NGC5018                       ,NGC 5018                      ,309.898,43.061,G     ,2816,0.009393,0.000003, 11.2B,32.87,0.34,37.77,5.59,5,5,46
116,NGC1134                       ,NGC 1134                      ,163.291,-40.089,G     ,3640,0.012142,0.000003,13.05,32.88,0.28,37.88,5.14,6,5,116
186,NGC5833                       ,NGC 5833                      ,312.942,-12.778,G     ,3034,0.010121,0.000017,12.82,32.88,0.25,37.88,4.38,4,9,186
388,NGC4696                       ,NGC 4696                      ,302.403,21.558,G     ,2958,0.009867,0.00005,11.39,32.88,0.31,38.04,5.35,6,14,388
267,NGC6902                       ,NGC 6902                      ,356.868,-34.683,G     ,2796,0.009326,0.000013,11.64,32.9,0.27,38.19,4.73,4,9,267
14,NGC3087                       ,NGC 3087                      ,266.889,16.324,G     ,2672,0.008913,0.00007,11.58,32.91,0.19,38.28,3.37,2,6,14
233,NGC4260                       ,NGC 4260                      ,281.563,67.63,G     ,1958,0.006531,0.000033, 12.5g,32.89,0.32,38.32,5.86,7,10,233
23,IC2537                        ,IC 2537                       ,263.226,22.099,G     ,2795,0.009322,0.000021,12.78,32.92,0.12,38.41,2.18,4,7,23
260,NGC1924                       ,NGC 1924                      ,208.065,-20.955,G     ,2558,0.008533,0.00015,13.25,32.91,0.31,38.46,5.65,3,6,260
40,NGC0470                       ,NGC 0470                      ,136.629,-58.707,G     ,2374,0.007919,0.00001,12.53,32.91,0.31,38.59,5.7,6,12,40
308,NGC2365                       ,NGC 2365                      ,196.103,16.405,G     ,2278,0.007599,0.000023,13.3,32.92,0.31,38.69,5.21,3,5,308
