Col,Dx,Dy,Dz,chi2
1, -1.00959437125e-06, -1.88704062224e-05, 1.04373756867e-06, 867.033802578
2, 8.61145760686e-07, -1.79078664227e-05, -2.73750501479e-06, 960.203267749
3, -2.606427166e-06, -1.8392875809e-05, 4.86018963668e-07, 857.765685856
4, 3.53497182479e-06, -1.61283354997e-05, -4.21309780359e-06, 974.00796953
5, -6.64043605922e-07, -1.73951959052e-05, -2.71230735902e-06, 855.132367653
6, 3.3900455752e-08, -1.71465383983e-05, -8.35396033533e-07, 864.557668683
7, 9.89223998635e-07, -1.83521844195e-05, -1.59471205932e-06, 882.558201239
8, 8.20541741009e-07, -1.83464608461e-05, -2.34110815579e-06, 1047.56314921
9, 5.4724161297e-06, -2.20803291765e-05, -1.61334099214e-06, 995.620434017
10, 3.46853276217e-06, -1.83474756886e-05, -3.6860516702e-06, 1024.37419173
11, -4.29704376276e-06, -1.88461867638e-05, 1.38922077866e-06, 926.731504081
12, 3.31052046339e-06, -1.77769417112e-05, -4.98552657692e-07, 871.304031938
13, 1.63939839894e-06, -1.9400306464e-05, -4.5309381418e-07, 893.334394049
14, -2.53395033104e-08, -1.90480407206e-05, -2.56631201216e-06, 896.872219276
15, 2.21708890984e-06, -1.92464958798e-05, 5.65452118997e-07, 856.963459553
16, -1.30289303802e-07, -1.67191219216e-05, -1.09244539191e-07, 945.813320954
17, 5.16942557402e-07, -1.82362925861e-05, -1.23948663535e-06, 902.900913953
18, -1.19592823503e-06, -1.89412486475e-05, -5.07276130275e-07, 979.900388271
19, 1.97058863207e-06, -1.96923419804e-05, 6.55503441179e-08, 805.44918118
20, 4.07405788539e-06, -1.83047355801e-05, -3.18212414014e-06, 909.450593107
21, 2.60308495737e-07, -1.75989353642e-05, -3.26705603117e-06, 993.442908503
22, -1.18664490638e-07, -2.11785817129e-05, -1.05067893885e-07, 891.717759115
23, -1.30805749382e-07, -1.59185938461e-05, -1.03998516413e-07, 947.325749734
24, 2.90940804944e-06, -1.98025952418e-05, 1.01707702909e-06, 804.702755874
25, 5.69470389757e-06, -2.03549831249e-05, -9.82994937148e-08, 963.2789117
26, 4.30110658401e-06, -1.87101163925e-05, -1.48169612626e-06, 884.723191075
27, -2.294254793e-06, -1.85144564776e-05, -1.42273623716e-06, 883.078749853
