ICol,Dx,Dy,Dz
1, 4.57206339895e-06, -2.01481861254e-05, -7.91456865826e-07
2, 1.6156411183e-06, -1.82728206162e-05, -5.38622442957e-06
3, 5.09129272493e-06, -1.93691979135e-05, -9.33027028685e-07
4, 5.97155464989e-07, -1.92238777527e-05, 2.28072908074e-07
5, 3.60368962423e-06, -2.10570210841e-05, 1.41380309038e-06
6, -1.34466211092e-06, -1.9407434479e-05, 1.96137420681e-06
7, -9.06638187733e-07, -1.89200781387e-05, -6.27926886125e-07
8, 2.838791398e-06, -1.93339960705e-05, -3.04952493967e-06
9, -3.23417527941e-06, -1.84739894671e-05, -2.74673407323e-06
10, -1.05214969052e-06, -2.06807526089e-05, 8.26605325733e-07
11, 1.69473864909e-07, -1.87556754924e-05, -3.10067263719e-06
12, -6.86773709555e-07, -1.79067559185e-05, -2.32280961526e-06
13, 1.81575848864e-06, -1.97457461517e-05, -1.75641598697e-06
14, 9.37770372813e-07, -1.74512772035e-05, -1.34247408813e-06
15, 3.69029614705e-07, -1.74179822396e-05, -3.50733287424e-07
16, 1.20144009075e-06, -1.68265884196e-05, -1.80116376732e-06
17, 1.79993364353e-06, -1.70387679652e-05, -2.96529437084e-06
18, 1.18825344091e-06, -1.7594041278e-05, -2.65314707663e-06
19, 8.36909437003e-06, -1.96469907096e-05, -2.72356527807e-06
20, 2.8487696635e-06, -1.70902326248e-05, -8.42110689408e-07
21, -1.98511035668e-06, -1.99398852794e-05, 8.01288322668e-08
22, -1.99615914115e-06, -1.84717136485e-05, -2.2237577256e-06
23, 1.93975976415e-06, -1.76378980767e-05, -1.15090722826e-06
24, 1.51931750509e-06, -1.79270677574e-05, -1.67437228878e-06
25, 1.76583630032e-06, -2.26217527648e-05, -4.5921434467e-07
26, 3.21415753106e-07, -1.60456370198e-05, -2.78967534769e-06
27, 1.18128257288e-07, -2.11635654328e-05, -2.99040868389e-06
28, 4.11155285883e-06, -1.80224681901e-05, -1.63130872264e-06
29, 1.47044360348e-06, -1.8256879075e-05, -1.15708645966e-06
30, 1.001057194e-06, -1.96735089786e-05, -2.40070054568e-06
31, 5.20303024909e-06, -1.95185316762e-05, -2.56230377609e-06
32, 1.83115833191e-06, -1.69524796439e-05, -3.04015803953e-06
33, 4.1723700023e-06, -1.88749199178e-05, -1.16604390034e-06
34, 5.99142318015e-06, -1.75404730471e-05, -3.55466640613e-06
35, 1.82160713894e-06, -1.90565882705e-05, -1.6195986061e-06
36, -1.05245897558e-07, -1.83517997239e-05, -3.77674917801e-06
37, 2.93454294306e-06, -1.89923074445e-05, -4.19325798669e-06
38, 1.26143596582e-06, -1.96883314117e-05, 9.56897604268e-08
39, 1.68862511984e-06, -1.81756402117e-05, -2.81142101223e-06
40, 1.38788505793e-06, -1.76339736706e-05, -1.6420959594e-06
41, 2.12426183195e-06, -1.8347098962e-05, 5.78891877437e-08
42, 8.56986690306e-07, -1.66516472067e-05, -2.18343447315e-06
43, 3.9470652365e-07, -1.83572250083e-05, -1.82671754701e-06
44, -1.74304977116e-06, -1.86664480046e-05, -1.08608695394e-06
45, -1.34721079504e-07, -1.67559227972e-05, -1.08504743854e-07
46, -5.4544589725e-06, -1.61906245578e-05, 2.27104654107e-06
47, -8.2142341593e-07, -1.92000093455e-05, -4.4348765838e-07
48, 5.58102417304e-07, -2.02848365834e-05, -1.34704396219e-06
49, 2.07872675554e-06, -1.89454668196e-05, -1.7806826463e-06
50, -2.33867802638e-07, -1.8563458183e-05, 2.59021971396e-07
51, 5.70959374297e-06, -1.81989044165e-05, -5.23508038727e-06
52, 3.57793059801e-06, -1.83916402351e-05, -2.29952968524e-06
53, 6.52151874029e-06, -2.09049631742e-05, 9.75891124421e-07
54, -8.72334382488e-07, -1.89926362255e-05, -1.49411412453e-06
55, -1.7777057676e-06, -1.73616687975e-05, 4.17460484647e-08
56, 3.70638604957e-07, -1.80039736545e-05, -3.24931413381e-06
57, 3.96986778932e-06, -1.87850007549e-05, -1.53400526319e-06
58, 1.02892426087e-06, -1.80170158696e-05, -1.70322750749e-06
59, -6.24198571038e-07, -1.91133024914e-05, -1.65402967157e-06
60, 6.50775178982e-06, -2.16810326727e-05, -7.64089496129e-07
61, 7.6025132356e-06, -1.63026920504e-05, -1.88991575297e-06
62, 8.5170161864e-08, -2.1102409879e-05, -3.16486803615e-07
63, -2.77672253407e-06, -1.70205040082e-05, 1.09838909316e-06
64, 3.88506890801e-06, -1.93270305183e-05, -3.16217554558e-07
65, 6.0101767058e-07, -1.86899465531e-05, -1.40082763613e-06
66, -6.54574307468e-07, -1.87328166602e-05, -2.47794171363e-06
67, -1.34831348836e-07, -1.67151688083e-05, -1.08648159772e-07
68, -1.35443186242e-07, -1.58941099058e-05, -1.07489493238e-07
69, 2.6320286953e-06, -1.79634523013e-05, -3.03202854573e-06
70, -1.32636782473e-07, -1.75915441266e-05, -1.07780053261e-07
71, -7.48232715128e-07, -1.75491380297e-05, 7.16524691709e-07
72, -2.12408040398e-06, -2.06922821162e-05, 1.69041329551e-06
73, 1.97715148689e-06, -1.87115664306e-05, -1.79876360755e-06
74, 5.68893992975e-07, -1.75557637591e-05, 6.95976531439e-07
75, 1.95567577714e-06, -1.92077868822e-05, 2.73227518112e-07
76, 2.08723485301e-06, -2.04018689428e-05, -1.75940859777e-07
77, 1.43827317008e-06, -1.86058363544e-05, 1.61301124392e-07
78, 3.99478231282e-06, -2.13073083532e-05, 9.52395914747e-07
79, -1.18487317988e-06, -1.91350996685e-05, 2.7929638976e-07
80, 4.66832673023e-06, -1.87662157374e-05, -4.71086192739e-06
81, -1.36049050266e-07, -1.59907047878e-05, -1.05754064522e-07
82, 1.28229387544e-07, -1.81462266336e-05, -5.02836731875e-07
83, 1.31239067316e-06, -2.08455082099e-05, -1.78214671534e-06
84, 4.41086367528e-06, -1.84145902956e-05, 6.1896339365e-07
85, 2.40541624195e-06, -1.70512962867e-05, -3.43152158518e-06
86, 2.87523753694e-07, -1.84921219121e-05, -2.07233794098e-06
87, 1.14301203066e-06, -1.79686168126e-05, -1.30336977376e-06
88, -2.81274331028e-06, -1.86814286982e-05, -7.74878255813e-07
89, 2.58288893725e-06, -1.91775506278e-05, -1.44879161549e-06
90, -5.31195277132e-07, -1.98114127347e-05, -1.00458422814e-06
91, 4.8914755096e-09, -1.80006008826e-05, -7.10503997731e-07
92, -1.35136030491e-07, -1.74789718875e-05, -1.06694511561e-07
93, -1.92728611447e-06, -1.71617712603e-05, -1.79071745834e-06
94, -1.34794597796e-07, -1.69038953222e-05, -1.07931498071e-07
95, 6.70223779362e-07, -2.03346068923e-05, -1.81764221449e-06
96, 4.70654869633e-07, -1.77309629324e-05, -2.92340865388e-06
97, 1.85534250246e-06, -1.88391664216e-05, -2.65825567481e-06
98, 1.74533488846e-07, -1.65530087628e-05, -5.12713242058e-06
99, 1.68442258023e-06, -2.06616244196e-05, 2.07031532583e-06
100, 4.4520527815e-07, -1.84737580007e-05, -7.2518160705e-07
101, 3.09342146657e-06, -1.95697406009e-05, -1.70960444327e-06
102, -1.35476902419e-07, -1.73505768929e-05, -1.06615902392e-07
103, -2.15510310225e-06, -1.81260073854e-05, -3.89109158786e-07
1, 2.92409276235e-06, -1.83739080509e-05, -3.4681977145e-06
2, 1.58330150098e-06, -2.05108973883e-05, -9.44972706969e-07
3, -8.93597758322e-08, -1.80040928173e-05, -1.56273660315e-06
4, -1.41972419824e-06, -1.9740621531e-05, 4.19291009015e-07
5, 2.67471354312e-06, -1.91259988893e-05, -2.83295349511e-06
6, 1.47171044686e-06, -2.04812644965e-05, -2.50780633078e-06
7, 5.6468776454e-07, -1.90085439063e-05, 4.6910904963e-07
8, 1.19849996999e-07, -1.62133766621e-05, -2.25624447746e-06
9, 3.81325528246e-06, -1.94557489109e-05, -2.86462701053e-07
