Col,Dx,Dy,Dz
1, 5.62949680118e-06, -9.54900822747e-06, -1.24610614162e-05
2, 4.41889117881e-06, -7.98744980852e-06, -1.22213488782e-05
3, 3.97111660482e-06, -6.15101028102e-06, -1.58935799065e-05
4, 2.66390778828e-06, -8.5574364846e-06, -1.15168577113e-05
5, 5.33850235008e-06, -7.69539436429e-06, -1.25622093095e-05
6, 6.6407036616e-06, -8.31972543653e-06, -1.54515170056e-05
7, 7.91148396333e-06, -8.49090631895e-06, -1.63411366423e-05
8, 5.5418998887e-06, -6.87035273332e-06, -1.22289482339e-05
9, 6.23261329797e-06, -8.74346087234e-06, -1.4709210097e-05
10, 6.5819825883e-06, -8.84384914466e-06, -9.79772660554e-06
11, 4.92250540082e-06, -8.35152777832e-06, -1.24858143138e-05
12, 3.34957243561e-06, -9.11202119939e-06, -1.2514516018e-05
13, 6.35573457697e-06, -5.3923839993e-06, -1.24153836511e-05
14, 6.49923233739e-06, -6.14996650632e-06, -1.33434660129e-05
15, 7.62343235636e-06, -1.05435580322e-05, -1.46991895063e-05
16, 4.15211950744e-06, -7.07940344735e-06, -1.38511624032e-05
17, 7.73191271044e-06, -7.70811696924e-06, -1.33962316138e-05
18, 4.19392158231e-06, -7.14336730961e-06, -1.25587537688e-05
19, 4.88460708752e-06, -8.46963220116e-06, -1.41176972364e-05
20, 7.24535155331e-06, -6.06539379056e-06, -1.51488289149e-05
21, 8.26832552022e-06, -9.55584322494e-06, -1.23618707626e-05
22, 1.38156377968e-06, -8.13135671696e-06, -1.29128373069e-05
23, 7.08995287079e-06, -6.06479270202e-06, -1.42869165066e-05
24, 5.09017467252e-06, -6.40712764707e-06, -1.2805649354e-05
25, 2.91002752457e-06, -4.04777502365e-06, -1.12600959544e-05
26, 5.44848272335e-06, -9.01052978662e-06, -1.13966604162e-05
27, 8.96666051758e-06, -9.40860833067e-06, -1.5632300859e-05
28, 5.94161332486e-06, -9.01750196627e-06, -1.10161137259e-05
29, 4.12777005218e-06, -7.61521540129e-06, -1.32581482289e-05
30, 5.86817323092e-06, -5.77048319911e-06, -1.2989917783e-05
31, 5.10968061718e-06, -6.13495619826e-06, -1.19382192748e-05
32, 8.05633108809e-06, -8.40409359818e-06, -1.30180495041e-05
33, 4.74862186541e-06, -7.87900577048e-06, -9.62459160096e-06
34, 5.51040678649e-06, -5.60187879575e-06, -1.03768134138e-05
35, 4.1632388579e-06, -9.01097789841e-06, -1.2707324856e-05
36, 5.52701656146e-06, -5.96488031828e-06, -1.34214730184e-05
37, 6.29863438899e-06, -9.63470057323e-06, -1.36422564407e-05
38, 4.53887082445e-06, -9.90467511213e-06, -1.17687119461e-05
39, 5.84975661518e-06, -9.89190596003e-06, -1.26537365141e-05
40, 8.33570344839e-06, -6.74692962853e-06, -1.34762391404e-05
41, 5.70507699049e-06, -6.94494391512e-06, -1.38329892029e-05
42, 7.41038507212e-06, -9.74338832267e-06, -1.34789968791e-05
43, 9.1240750072e-06, -1.10436938229e-05, -1.12063752962e-05
44, 4.36297816079e-06, -7.52151530857e-06, -1.25606370196e-05
45, 5.49706492043e-06, -9.24844428615e-06, -1.23146979393e-05
46, 3.94328205449e-06, -6.25418191466e-06, -1.14566511023e-05
47, 9.28778591655e-06, -8.82344941681e-06, -1.25374585996e-05
48, 5.2444282e-06, -8.69670651537e-06, -1.44318583619e-05
49, 6.47801592241e-06, -7.06378714131e-06, -1.3171849592e-05
50, 3.89191780608e-06, -8.15975159143e-06, -1.10576366566e-05
51, 6.02795049856e-06, -7.74706433609e-06, -1.3578960213e-05
52, 6.83493401859e-06, -7.33763750478e-06, -1.30426767613e-05
53, 7.52945176952e-06, -1.07396484732e-05, -1.40547421574e-05
54, 3.65364346817e-06, -9.0580828276e-06, -1.29508225016e-05
55, 8.36188645949e-06, -9.42993270867e-06, -1.40821048271e-05
56, 4.72782580634e-06, -7.71687103917e-06, -1.29753332056e-05
57, 5.43885844748e-06, -7.97253493125e-06, -1.44047922721e-05
58, 4.01099890037e-06, -8.59636753739e-06, -1.03679624598e-05
59, 1.96150424537e-06, -6.29959530912e-06, -1.2035262313e-05
60, 5.52870564032e-06, -8.8571005091e-06, -1.43300940555e-05
