Col,Dx,Dy,Dz
1, 3.82631274225e-05, 1.16171367431e-05, -1.18506421149e-05
2, 1.38466407011e-05, -1.07423713236e-05, -2.44576647826e-05
3, 1.42306701052e-05, -8.65395967709e-06, -2.34473368164e-05
4, 3.60694756592e-05, -9.37729708426e-06, -2.12135987976e-05
5, 2.48625702026e-05, -9.8903082742e-06, -2.33628344063e-05
6, 2.61618312595e-05, -3.25025585794e-06, 1.26406576815e-06
7, 2.80485717141e-05, -1.2772383583e-05, -2.38642076033e-05
8, 1.04465480736e-05, 6.071929323e-06, 1.39153788375e-05
9, 4.35217925103e-06, -1.18340348868e-05, -1.33494384712e-05
10, 2.52404725484e-05, -1.40758196672e-05, -2.21857957103e-05
11, 1.77483275109e-05, -1.23885917604e-05, -1.90192826254e-05
12, 1.06062410348e-05, -7.47611277372e-06, -1.3929016651e-05
13, 1.45039990315e-05, -1.56522834063e-05, -2.45489853025e-05
14, 3.23967759707e-05, -1.70738827106e-05, -1.22693164999e-05
15, 1.72301837241e-05, -7.83828355692e-06, -1.36221076848e-05
16, 1.10398037132e-05, -6.00344465449e-06, -1.88220896886e-05
17, 1.64607113145e-05, -1.45977499046e-05, -2.69473873004e-05
18, 1.39868675734e-05, -1.12054310117e-05, -1.26480430039e-05
19, 1.63793505443e-06, -7.20113538861e-06, -1.36542038838e-05
20, 1.80865998314e-05, -1.04422914795e-05, -2.46943928328e-05
21, 2.45114165295e-05, -1.38253327518e-05, -2.56822819553e-05
22, 7.61648525583e-06, 6.09862736945e-06, -9.03104631766e-06
23, 3.18824540159e-05, -1.78448301526e-05, -1.32918638755e-05
24, 4.80420208543e-05, -4.43746784176e-05, 2.67418951438e-07
25, 2.60221649035e-05, -1.41156563996e-05, -1.45352298222e-05
26, -1.40301903104e-05, -2.07924889946e-05, -3.49287004192e-05
27, -1.85485406515e-05, 6.52976908505e-05, -3.07333077894e-05
28, 1.49148796513e-05, -7.34579029775e-06, -1.94230523686e-05
29, 2.24648989208e-05, -1.35331282741e-05, -1.96112998116e-05
30, 0.000988657970913, -0.000275149303262, -0.00086870948176
31, 3.08068442781e-05, -2.05545712108e-05, -2.26852669451e-05
32, 2.12338159447e-05, -4.75330192386e-06, -2.39335392272e-05
33, -4.3298646315e-05, -3.93428787401e-05, 5.81773873854e-06
34, 6.82855075619e-05, 1.79821541222e-05, -1.34950723365e-05
35, 1.35432353805e-05, -5.88714512517e-06, -1.91279745507e-05
36, 1.17848339186e-05, -8.81198671876e-06, -8.33114105773e-06
37, 8.74808856563e-06, 8.94668159195e-06, -1.88661667799e-05
38, 9.67008429589e-06, 2.14448003441e-05, 6.07836136526e-05
39, 1.09433796411e-05, -1.17498932044e-05, -1.47639619515e-05
40, 1.60091148246e-05, -1.38076833835e-05, -2.3334921386e-05
41, 1.20498160157e-05, -1.62172596807e-05, -1.51074714504e-05
42, 1.87997473672e-05, -1.51421929999e-05, -1.56397195206e-05
43, 3.46579567259e-05, -1.55009043027e-05, -2.4008126305e-05
44, 4.04750308691e-05, -1.57633253935e-05, -2.89785688848e-06
45, 5.91805268673e-05, -6.44023346852e-05, 8.24120724546e-06
46, -2.76608326193e-06, 4.01643293174e-05, -1.56922679068e-05
47, 2.09045565063e-05, -8.44159494433e-07, -1.59151454257e-05
48, 4.9121103526e-06, -1.14329748045e-05, -1.66235480443e-05
49, 2.82231038278e-05, -1.51111913355e-06, -6.19283466735e-06
50, 2.36551378921e-05, 1.1173599905e-05, 8.94668094552e-06
51, 2.88892691247e-05, -9.08272079791e-06, -1.4256478238e-05
52, -5.08554585748e-05, -4.43218640812e-06, 3.39941058601e-05
53, 1.27026245318e-05, -1.32358884873e-05, -2.92742428405e-05
54, 2.55798437467e-05, -8.87707255434e-06, -1.79514041491e-05
55, 1.70265460581e-05, 5.78074288752e-05, 0.000141804004415
56, 1.52542919525e-05, -6.83243821778e-06, -1.98488241519e-05
57, -9.68979614544e-06, -7.73173098319e-06, -3.22002860288e-05
