,Names,RA,DEC,Redshift
0,1SAX J1338.1-8030,204.53183,-80.49689,1.6187
1,2MASS J00333438-1921331,8.3925,-19.35925,0.61
2,2MASS J01145278+1325376,18.71991,13.42708,2.025
3,2MASS J06504649+2502596,102.69371,25.04989,0.203
4,2MASS J08162719-1311524,124.11329,-13.19789,0.045978
5,2MASS J08442426+1245464,131.10108,12.76289,2.4934
6,2MASS J17250434+1152155,261.26809,11.87096,0.018
7,2MASX J00001440-7652248,0.05983,-76.87364,0.053267
8,2MASX J00002213-0137463,0.09229,-1.62947,0.038283
9,2MASX J00004283-7217148,0.17833,-72.28742,0.034757
10,2MASX J00005579-2554210,0.23237,-25.90581,0.050402
11,2MASX J00010098-4345156,0.25412,-43.75431,0.03926
12,2MASX J00010107-4351356,0.25442,-43.85992,0.039321
13,2MASX J00013295-0726099,0.38724,-7.4362,0.029474
14,2MASX J00021772-4345168,0.57383,-43.75467,0.040912
15,2MASX J00021977-4352198,0.5825,-43.87211,0.038583
16,2MASX J00022478-5445592,0.60321,-54.76653,0.032576
17,2MASX J00024069+0846251,0.66954,8.77367,0.040301
18,2MASX J00024429-5344549,0.6845,-53.74858,0.034887
19,2MASX J00030547-5402112,0.77287,-54.03642,0.036212
20,2MASX J00034674-5514189,0.94479,-55.23861,0.033353
21,2MASX J00035182-1206094,0.966,-12.10252,0.04339
22,2MASX J00035710-6146566,0.98813,-61.78247,0.029717
23,2MASX J00040601-5134568,1.02517,-51.5825,0.034357
24,2MASX J00041398-5113247,1.05833,-51.22347,0.037129
25,2MASX J00041814-2506060,1.07563,-25.10175,0.050482
26,2MASX J00042841-5254136,1.11833,-52.90386,0.030828
27,2MASX J00050371-5520325,1.26546,-55.34236,0.03802
28,2MASX J00050534-5333071,1.27238,-53.552,0.034747
29,2MASX J00050967-5358015,1.29017,-53.96706,0.037092
30,2MASX J00051125-5020531,1.29683,-50.34808,0.035695
31,2MASX J00052708-1331368,1.36292,-13.52697,0.03789
32,2MASX J00052781-5034551,1.36604,-50.58194,0.035378
33,2MASX J00053994-5349010,1.41646,-53.81692,0.036902
34,2MASX J00054453-1836506,1.43545,-18.61429,0.053237
35,2MASX J00055956-5316358,1.49825,-53.27661,0.033123
36,2MASX J00061530-5246408,1.56371,-52.77803,0.035871
37,2MASX J00062236-5010027,1.59325,-50.16747,0.035538
38,2MASX J00062878-5349382,1.61996,-53.82731,0.036692
39,2MASX J00063171-1228514,1.63213,-12.48094,0.04768
40,2MASX J00063271-5210412,1.63629,-52.17808,0.035088
41,2MASX J00063790-5311542,1.65804,-53.19842,0.037019
42,2MASX J00064296-6043467,1.67917,-60.72956,0.036055
43,2MASX J00064837-5106122,1.7015,-51.10347,0.0343
44,2MASX J00073031-6109257,1.87621,-61.15708,0.029797
45,2MASX J00073247-5331390,1.88521,-53.52756,0.036562
46,2MASX J00074464-0156451,1.93592,-1.94586,0.037773
47,2MASX J00074860-5446297,1.95254,-54.77486,0.031899
48,2MASX J00075267-4847599,1.96938,-48.80006,0.035851
49,2MASX J00082488-0513044,2.10375,-5.21798,0.038794
50,2MASX J00082585-0036314,2.10783,-0.60867,0.040477
51,2MASX J00083620-5848043,2.151,-58.80117,0.030875
52,2MASX J00084665-5659002,2.19433,-56.98333,0.027549
53,2MASX J00085654-5349360,2.23567,-53.82672,0.041982
54,2MASX J00090044-0422301,2.25192,-4.37511,0.030364
55,2MASX J00090207-7949591,2.25862,-79.83303,0.037349
56,2MASX J00101607-0043501,2.56695,-0.73055,0.039427
57,2MASX J00101852-5706369,2.57708,-57.11022,0.030981
58,2MASX J00102166+0042360,2.59035,0.70995,0.2897
59,2MASX J00103444+0611590,2.64346,6.19975,0.042983
60,2MASX J00104185-0427551,2.6743,-4.46536,0.0384
61,2MASX J00104278-2019288,2.67834,-20.32457,0.053274
62,2MASX J00112685-0328255,2.86211,-3.47374,0.038226
63,2MASX J00114159-5655469,2.92338,-56.92969,0.031051
64,2MASX J00114362-1831032,2.93171,-18.51756,0.053277
65,2MASX J00115959-1931227,2.99831,-19.52293,0.052813
66,2MASX J00121084-1929386,3.04525,-19.49403,0.05279
67,2MASX J00121162-1055413,3.04844,-10.92813,0.017929
68,2MASX J00123369-0002547,3.14043,-0.04848,0.039522
69,2MASX J00125928-0646232,3.24714,-6.77322,0.039504
70,2MASX J00132078-0955213,3.33646,-9.92269,0.027383
71,2MASX J00132422-1450251,3.35092,-14.84035,0.036018
72,2MASX J00135307-1246455,3.47118,-12.77932,0.03846
73,2MASX J00142140-8354434,3.59013,-83.912,0.052193
74,2MASX J00151200-4328236,3.80008,-43.47325,0.053674
75,2MASX J00151909-6144405,3.82942,-61.74461,0.029544
76,2MASX J00153409-0303380,3.892,-3.06061,0.022679
77,2MASX J00154647-5913412,3.94375,-59.22808,0.030715
78,2MASX J00160121+1601331,4.00497,16.02596,0.018074
79,2MASX J00164188-0025300,4.17437,-0.42516,0.104743
80,2MASX J00164573-0823503,4.19062,-8.39731,0.035915
81,2MASX J00172304-6251043,4.34617,-62.85128,0.049304
82,2MASX J00173165-6352503,4.38213,-63.88058,0.042146
83,2MASX J00173479-0420161,4.39504,-4.33781,0.040238
84,2MASX J00175373-0839124,4.47392,-8.65344,0.035608
85,2MASX J00182364-0518220,4.59857,-5.30619,0.035565
86,2MASX J00183901-5425163,4.66258,-54.42119,0.034444
87,2MASX J00184850-1514500,4.7021,-15.24714,0.025704
88,2MASX J00185248-3740239,4.71867,-37.67339,0.044901
89,2MASX J00190813-2211201,4.78377,-22.18896,0.053587
90,2MASX J00192835-5221370,4.86829,-52.36022,0.033847
91,2MASX J00194744-5115098,4.94771,-51.25267,0.021768
92,2MASX J00201118-0324022,5.04655,-3.40056,0.039757
93,2MASX J00201281-4940326,5.05329,-49.67567,0.043507
94,2MASX J00202649-0206429,5.11046,-2.11189,0.039687
95,2MASX J00203733-1317189,5.15561,-13.28876,0.054831
96,2MASX J00213472-0407193,5.39459,-4.12197,0.039387
97,2MASX J00214625-1144111,5.44271,-11.73654,0.048347
98,2MASX J00215117-0135273,5.46338,-1.59078,0.039207
99,2MASX J00215303-1926257,5.47096,-19.4405,0.023746
100,2MASX J00222069-7609509,5.58662,-76.16403,0.047803
101,2MASX J00223541-0620269,5.64754,-6.34086,0.041746
102,2MASX J00225090-4245084,5.71204,-42.75242,0.035995
103,2MASX J00225812-4232045,5.74225,-42.53458,0.054234
104,2MASX J00230153-5650048,5.75633,-56.83475,0.034074
105,2MASX J00230166-6350000,5.75679,-63.83331,0.042526
106,2MASX J00232812-0414539,5.86717,-4.24836,0.053247
107,2MASX J00234364-2100579,5.93187,-21.01608,0.052716
108,2MASX J00235272-1241042,5.96962,-12.68475,0.048764
