,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
47,,37,23,UGC 12894,29.64,,8.47,Tully-Fisher,2013AJ....145..101K,,,,,33,
98,,88,64,UGC 12900,34.82,,92.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
99,,89,64,UGC 12900,34.83,,92.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
100,,90,64,UGC 12900,34.83,,92.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
101,,91,64,UGC 12900,34.87,,94.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
202,,170,107,UGC 12913,34.5,,79.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
203,,171,107,UGC 12913,34.5,,79.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
204,,172,107,UGC 12913,34.5,,79.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
208,,176,107,UGC 12913,34.79,,90.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
297,R,258,125,WLM,25.88,,1.5,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
302,,262,128,UGC 12905,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
303,,263,128,UGC 12905,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
304,,264,128,UGC 12905,33.96,,61.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
305,,265,128,UGC 12905,34.15,,67.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
336,,291,148,UGC 12920,34.29,,72.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
337,,292,148,UGC 12920,34.3,,72.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
338,,293,148,UGC 12920,34.3,,72.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
339,,294,148,UGC 12920,34.48,,78.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
535,,441,209,NGC 7814,30.98,,15.7,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
546,R,452,209,NGC 7814,32.7,,34.7,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
694,,577,260,FGC 0001,32.7,,34.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
695,,578,260,FGC 0001,33.19,,43.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
696,,579,260,FGC 0001,33.21,,43.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
